[14:12:16] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[14:12:17] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[14:12:17] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:12:17] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:12:17] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[14:12:17] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:12:17] [main/INFO]: Reloading ResourceManager: Default
[14:12:19] [Worker-Main-2/INFO]: Loaded 7 recipes
[14:12:20] [Worker-Main-2/INFO]: Loaded 927 advancements
[14:12:23] [Server thread/INFO]: Starting minecraft server version 1.16.4
[14:12:23] [Server thread/INFO]: Loading properties
[14:12:23] [Server thread/INFO]: Default game type: SURVIVAL
[14:12:23] [Server thread/INFO]: Generating keypair
[14:12:24] [Server thread/INFO]: Starting Minecraft server on *:25564
[14:12:24] [Server thread/INFO]: Using epoll channel type
[14:12:24] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[14:12:24] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[14:12:24] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[14:12:24] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[14:12:24] [Server thread/INFO]: Preparing level "BRTSurvivalWorld"
[14:12:58] [Worker-Main-2/INFO]: Preparing spawn area: 25%
[14:12:58] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[14:12:59] [Worker-Main-2/INFO]: Preparing spawn area: 28%
[14:12:59] [Worker-Main-2/INFO]: Preparing spawn area: 28%
[14:13:00] [Worker-Main-2/INFO]: Preparing spawn area: 29%
[14:13:00] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[14:13:01] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[14:13:01] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[14:13:02] [Worker-Main-2/INFO]: Preparing spawn area: 33%
[14:13:02] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[14:13:03] [Worker-Main-2/INFO]: Preparing spawn area: 35%
[14:13:03] [Worker-Main-2/INFO]: Preparing spawn area: 35%
[14:13:04] [Worker-Main-2/INFO]: Preparing spawn area: 36%
[14:13:04] [Worker-Main-2/INFO]: Preparing spawn area: 37%
[14:13:05] [Worker-Main-2/INFO]: Preparing spawn area: 37%
[14:13:05] [Worker-Main-2/INFO]: Preparing spawn area: 38%
[14:13:06] [Worker-Main-2/INFO]: Preparing spawn area: 39%
[14:13:06] [Worker-Main-2/INFO]: Preparing spawn area: 40%
[14:13:07] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[14:13:07] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[14:13:08] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[14:13:08] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[14:13:09] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[14:13:09] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[14:13:10] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[14:13:10] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[14:13:11] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[14:13:11] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[14:13:12] [Worker-Main-2/INFO]: Preparing spawn area: 50%
[14:13:12] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[14:13:13] [Worker-Main-2/INFO]: Preparing spawn area: 52%
[14:13:13] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[14:13:14] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[14:13:14] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[14:13:15] [Worker-Main-2/INFO]: Preparing spawn area: 56%
[14:13:15] [Worker-Main-2/INFO]: Preparing spawn area: 56%
[14:13:16] [Worker-Main-2/INFO]: Preparing spawn area: 56%
[14:13:16] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[14:13:17] [Worker-Main-2/INFO]: Preparing spawn area: 58%
[14:13:17] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[14:13:18] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[14:13:18] [Worker-Main-2/INFO]: Preparing spawn area: 61%
[14:13:19] [Worker-Main-2/INFO]: Preparing spawn area: 63%
[14:13:19] [Worker-Main-2/INFO]: Preparing spawn area: 63%
[14:13:20] [Worker-Main-2/INFO]: Preparing spawn area: 65%
[14:13:20] [Worker-Main-2/INFO]: Preparing spawn area: 66%
[14:13:21] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[14:13:21] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[14:13:22] [Worker-Main-2/INFO]: Preparing spawn area: 69%
[14:13:22] [Worker-Main-2/INFO]: Preparing spawn area: 70%
[14:13:23] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[14:13:23] [Worker-Main-2/INFO]: Preparing spawn area: 73%
[14:13:24] [Worker-Main-2/INFO]: Preparing spawn area: 74%
[14:13:24] [Worker-Main-2/INFO]: Preparing spawn area: 75%
[14:13:25] [Worker-Main-2/INFO]: Preparing spawn area: 77%
[14:13:25] [Worker-Main-2/INFO]: Preparing spawn area: 78%
[14:13:26] [Worker-Main-2/INFO]: Preparing spawn area: 79%
[14:13:26] [Worker-Main-2/INFO]: Preparing spawn area: 80%
[14:13:27] [Worker-Main-2/INFO]: Preparing spawn area: 82%
[14:13:27] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[14:13:28] [Worker-Main-2/INFO]: Preparing spawn area: 84%
[14:13:28] [Worker-Main-2/INFO]: Preparing spawn area: 85%
[14:13:29] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[14:13:29] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[14:13:30] [Worker-Main-2/INFO]: Preparing spawn area: 88%
[14:13:30] [Worker-Main-2/INFO]: Preparing spawn area: 89%
[14:13:31] [Worker-Main-2/INFO]: Preparing spawn area: 90%
[14:13:31] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[14:13:32] [Worker-Main-2/INFO]: Preparing spawn area: 92%
[14:13:32] [Worker-Main-2/INFO]: Preparing spawn area: 93%
[14:13:33] [Worker-Main-2/INFO]: Preparing spawn area: 94%
[14:13:33] [Worker-Main-2/INFO]: Preparing spawn area: 96%
[14:13:34] [Worker-Main-2/INFO]: Preparing spawn area: 98%
[14:13:34] [Worker-Main-2/INFO]: Preparing spawn area: 99%
[14:13:34] [Server thread/INFO]: Time elapsed: 58036 ms
[14:13:34] [Server thread/INFO]: Done (69.680s)! For help, type "help"
[14:18:39] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 5316ms or 106 ticks behind
[14:19:32] [Server thread/INFO]: ARAlifio[/36.71.233.87:9595] logged in with entity id 361 at (6.5, 67.0, 83.5)
[14:19:32] [Server thread/INFO]: ARAlifio joined the game
[14:19:40] [Server thread/INFO]: ARAlifio lost connection: Disconnected
[14:19:40] [Server thread/INFO]: ARAlifio left the game
